,timestamps,gh:Module Power Socket 0,gh:Grace Power Socket 0,gh:CPU Power Socket 0,gh:SysIO Power Socket 0,gh:Module Power Socket 1,gh:Grace Power Socket 1,gh:CPU Power Socket 1,gh:SysIO Power Socket 1,gh:Module Power Socket 2,gh:Grace Power Socket 2,gh:CPU Power Socket 2,gh:SysIO Power Socket 2,gh:Module Power Socket 3,gh:Grace Power Socket 3,gh:CPU Power Socket 3,gh:SysIO Power Socket 3,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733991686.9890456,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.617,105.10600000000001,101.336,104.104
1,1733991687.0685947,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.64,105.10600000000001,101.336,104.092
2,1733991687.091864,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.64,105.121,101.289,104.092
3,1733991687.1697588,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.616,105.121,101.289,104.04
4,1733991687.194833,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.616,105.083,101.269,104.04
5,1733991687.2708387,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.665,105.083,101.269,104.051
6,1733991687.2976003,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.665,105.05,101.303,104.051
7,1733991687.3713965,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.643,105.05,101.303,104.031
8,1733991687.3997974,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.643,105.026,101.23400000000001,104.031
9,1733991687.4721017,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.623,105.026,101.23400000000001,104.048
10,1733991687.5013425,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.623,104.985,101.147,104.048
11,1733991687.5727925,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.63,104.985,101.147,104.057
12,1733991687.6027987,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.63,104.962,101.134,104.057
13,1733991687.67348,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.56700000000001,104.962,101.134,104.021
14,1733991687.7041097,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.56700000000001,104.97800000000001,101.159,104.021
15,1733991687.7742689,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.523,104.97800000000001,101.159,104.028
16,1733991687.8176646,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.527,104.998,101.174,104.028
17,1733991687.8804262,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.527,104.998,101.174,104.003
18,1733991687.9269054,188.637,37.846,36.241,0.065,184.363,32.787,31.258,0.024,159.387,62.22,59.239,0.621,163.67,54.33,51.381,0.45799999999999996,109.526,105.031,101.11800000000001,104.003
19,1733991687.989028,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.526,105.031,101.11800000000001,103.986
20,1733991688.0369768,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.517,105.029,101.144,103.986
21,1733991688.0988474,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.517,104.98,101.169,104.006
22,1733991688.1465015,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.505,104.98,101.169,104.006
23,1733991688.208845,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.505,104.985,101.159,104.03
24,1733991688.250338,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.465,104.985,101.159,104.03
25,1733991688.3095899,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.465,104.989,101.13,104.03
26,1733991688.3510985,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.517,104.989,101.13,104.06
27,1733991688.4103003,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.517,105.0,101.114,104.06
28,1733991688.4518073,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.541,105.0,101.114,104.069
29,1733991688.5110028,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.541,105.0,101.11500000000001,104.069
30,1733991688.5525198,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.572,105.0,101.11500000000001,104.077
31,1733991688.6117277,184.62699999999998,35.994,34.995,0.048999999999999995,193.07999999999998,31.419999999999998,30.212,0.027999999999999997,146.82899999999998,60.910999999999994,58.190999999999995,0.623,155.117,53.937,51.382,0.45699999999999996,109.572,105.002,101.09700000000001,104.077
